decalage	unique	phase	marge	rx_avant	daram_len	vraies	crc_ok	sb_tentees	fb_acceptees
-1	0	0.0	0	0	380	0	2	58	63
-1	0	0.0	21	0	380	0	1	57	60
-1	0	0.0	41	0	380	0	0	58	61
-1	0	0.25	0	0	380	0	5	56	61
-1	0	0.25	21	0	380	0	3	57	61
-1	0	0.25	41	0	380	0	5	56	63
-1	0	0.5	0	0	380	0	7	54	62
-1	0	0.5	21	0	380	0	7	57	62
-1	0	0.5	41	0	380	0	3	57	60
-1	0	0.75	0	0	380	0	9	53	60
-1	0	0.75	21	0	380	0	1	58	61
-1	0	0.75	41	0	380	0	11	51	60
-1	1	0.0	0	0	380	0	2	29	62
-1	1	0.0	21	0	380	0	2	29	62
-1	1	0.0	41	0	380	0	1	29	63
-1	1	0.25	0	0	380	0	1	30	62
-1	1	0.25	21	0	380	0	2	29	60
-1	1	0.25	41	0	380	0	3	30	63
-1	1	0.5	0	0	380	0	2	30	62
-1	1	0.5	21	0	380	0	2	30	61
-1	1	0.5	41	0	380	0	1	29	61
-1	1	0.75	0	0	380	0	1	29	60
-1	1	0.75	21	0	380	0	2	30	61
-1	1	0.75	41	0	380	0	8	30	63
0	0	0.0	0	0	380	0	5	55	62
0	0	0.0	21	0	380	0	1	57	63
0	0	0.0	41	0	380	0	1	57	61
0	0	0.25	0	0	380	0	2	57	61
0	0	0.25	21	0	380	0	5	56	59
0	0	0.25	41	0	380	0	2	58	60
0	0	0.5	0	0	380	0	1	57	60
0	0	0.5	21	0	380	0	2	57	61
0	0	0.5	41	0	380	0	2	56	62
0	0	0.75	0	0	380	0	12	53	60
0	0	0.75	21	0	380	0	8	57	60
0	0	0.75	41	0	380	0	3	57	60
0	1	0.0	0	0	380	0	1	29	63
0	1	0.0	21	0	380	0	1	29	60
0	1	0.0	41	0	380	0	1	29	61
0	1	0.25	0	0	380	0	1	29	61
0	1	0.25	21	0	380	0	3	29	61
0	1	0.25	41	0	380	0	2	29	62
0	1	0.5	0	0	380	0	2	29	61
0	1	0.5	21	0	380	0	2	29	60
0	1	0.5	41	0	380	0	2	29	60
0	1	0.75	0	0	380	0	5	29	62
0	1	0.75	21	0	380	0	1	29	61
0	1	0.75	41	0	380	0	5	29	60
