decalage	unique	phase	marge	rx_avant	daram_len	vraies	crc_ok	sb_tentees	fb_acceptees
-3	0	0.0	0	0	296	0	0	64	66
-3	0	0.0	0	0	380	0	0	64	66
-3	0	0.0	0	1	296	0	0	58	60
-3	0	0.0	0	1	380	0	0	58	60
-3	0	0.0	10	0	296	0	2	62	67
-3	0	0.0	10	0	380	0	2	62	67
-3	0	0.0	10	1	296	0	2	55	60
-3	0	0.0	10	1	380	0	2	55	60
-3	0	0.0	21	0	296	0	1	64	67
-3	0	0.0	21	0	380	0	1	64	67
-3	0	0.0	21	1	296	0	0	58	60
-3	0	0.0	21	1	380	0	0	58	60
-3	0	0.0	30	0	296	0	0	64	66
-3	0	0.0	30	0	380	0	0	64	66
-3	0	0.0	30	1	296	0	0	58	59
-3	0	0.0	30	1	380	0	0	58	59
-3	0	0.0	41	0	296	0	1	67	71
-3	0	0.0	41	0	380	0	1	67	71
-3	0	0.0	41	1	296	0	3	57	59
-3	0	0.0	41	1	380	0	3	57	59
-3	0	0.1	0	0	296	0	2	67	70
-3	0	0.1	0	0	380	0	2	67	70
-3	0	0.1	0	1	296	0	3	57	60
-3	0	0.1	0	1	380	0	3	57	60
-3	0	0.1	10	0	296	0	2	61	66
-3	0	0.1	10	0	380	0	2	61	66
-3	0	0.1	10	1	296	0	0	58	62
-3	0	0.1	10	1	380	0	0	58	62
-3	0	0.1	21	0	296	0	0	64	67
-3	0	0.1	21	0	380	0	0	64	67
-3	0	0.1	21	1	296	0	2	57	59
-3	0	0.1	21	1	380	0	2	57	59
-3	0	0.1	30	0	296	0	4	65	70
-3	0	0.1	30	0	380	0	4	65	70
-3	0	0.1	30	1	296	0	1	57	59
-3	0	0.1	30	1	380	0	1	57	59
-3	0	0.1	41	0	296	0	1	65	70
-3	0	0.1	41	0	380	0	1	65	70
-3	0	0.1	41	1	296	0	4	57	60
-3	0	0.1	41	1	380	0	4	57	60
-3	0	0.2	0	0	296	0	2	62	64
-3	0	0.2	0	0	380	0	2	62	64
-3	0	0.2	0	1	296	0	0	58	61
-3	0	0.2	0	1	380	0	0	58	61
-3	0	0.2	10	0	296	0	2	62	63
-3	0	0.2	10	0	380	0	2	62	63
-3	0	0.2	10	1	296	0	2	56	63
-3	0	0.2	10	1	380	0	2	56	63
-3	0	0.2	21	0	296	0	0	64	65
-3	0	0.2	21	0	380	0	0	64	65
-3	0	0.2	21	1	296	0	5	57	60
-3	0	0.2	21	1	380	0	5	57	60
-3	0	0.2	30	0	296	0	4	59	64
-3	0	0.2	30	0	380	0	4	59	64
-3	0	0.2	30	1	296	0	3	56	60
-3	0	0.2	30	1	380	0	3	56	60
-3	0	0.2	41	0	296	0	8	62	70
-3	0	0.2	41	0	380	0	8	62	70
-3	0	0.2	41	1	296	0	0	58	62
-3	0	0.2	41	1	380	0	0	58	62
-3	0	0.3	0	0	296	0	1	62	65
-3	0	0.3	0	0	380	0	1	62	65
-3	0	0.3	0	1	296	0	2	55	59
-3	0	0.3	0	1	380	0	2	55	59
-3	0	0.3	10	0	296	0	1	67	71
-3	0	0.3	10	0	380	0	1	67	71
-3	0	0.3	10	1	296	0	2	57	59
-3	0	0.3	10	1	380	0	2	57	59
-3	0	0.3	21	0	296	0	1	61	65
-3	0	0.3	21	0	380	0	1	61	65
-3	0	0.3	21	1	296	0	2	54	60
-3	0	0.3	21	1	380	0	2	54	60
-3	0	0.3	30	0	296	0	2	65	69
-3	0	0.3	30	0	380	0	2	65	69
-3	0	0.3	30	1	296	0	0	58	61
-3	0	0.3	30	1	380	0	0	58	61
-3	0	0.3	41	0	296	0	4	63	68
-3	0	0.3	41	0	380	0	4	63	68
-3	0	0.3	41	1	296	0	3	56	59
-3	0	0.3	41	1	380	0	3	56	59
-3	0	0.4	0	0	296	0	3	66	68
-3	0	0.4	0	0	380	0	3	66	68
-3	0	0.4	0	1	296	0	2	58	59
-3	0	0.4	0	1	380	0	2	58	59
