decalage	unique	phase	marge	rx_avant	daram_len	vraies	mots_distincts	crc_ok	sb_tentees
-5	0	0.0	0	0	296	0	1	1	75
-5	0	0.0	0	0	380	0	1	1	75
-5	0	0.0	0	1	296	0	0	0	60
-5	0	0.0	0	1	380	0	0	0	60
-5	0	0.0	10	0	296	0	0	0	78
-5	0	0.0	10	0	380	0	0	0	78
-5	0	0.0	10	1	296	0	0	0	60
-5	0	0.0	10	1	380	0	0	0	60
-5	0	0.0	21	0	296	0	0	0	74
-5	0	0.0	21	0	380	0	0	0	74
-5	0	0.0	21	1	296	0	0	0	64
-5	0	0.0	21	1	380	0	0	0	64
-5	0	0.0	30	0	296	0	1	2	75
-5	0	0.0	30	0	380	0	1	2	75
-5	0	0.0	30	1	296	0	0	0	62
-5	0	0.0	30	1	380	0	0	0	62
-5	0	0.0	41	0	296	0	1	1	73
-5	0	0.0	41	0	380	0	1	1	73
-5	0	0.0	41	1	296	0	1	1	61
-5	0	0.0	41	1	380	0	1	1	61
-5	0	0.1	0	0	296	0	4	4	75
-5	0	0.1	0	0	380	0	4	4	75
-5	0	0.1	0	1	296	0	1	1	63
-5	0	0.1	0	1	380	0	1	1	63
-5	0	0.1	10	0	296	0	1	1	76
-5	0	0.1	10	0	380	0	1	1	76
-5	0	0.1	10	1	296	0	0	0	66
-5	0	0.1	10	1	380	0	0	0	66
-5	0	0.1	21	0	296	0	0	0	74
-5	0	0.1	21	0	380	0	0	0	74
-5	0	0.1	21	1	296	0	0	0	64
-5	0	0.1	21	1	380	0	0	0	64
-5	0	0.1	30	0	296	0	2	2	74
-5	0	0.1	30	0	380	0	2	2	74
-5	0	0.1	30	1	296	0	3	3	66
-5	0	0.1	30	1	380	0	3	3	66
-5	0	0.1	41	0	296	0	0	0	74
-5	0	0.1	41	0	380	0	0	0	74
-5	0	0.1	41	1	296	0	2	2	63
-5	0	0.1	41	1	380	0	2	2	63
-5	0	0.2	0	0	296	0	1	4	73
-5	0	0.2	0	0	380	0	1	4	73
-5	0	0.2	0	1	296	0	5	5	62
-5	0	0.2	0	1	380	0	5	5	62
-5	0	0.2	10	0	296	0	1	1	77
-5	0	0.2	10	0	380	0	1	1	77
-5	0	0.2	10	1	296	0	1	3	63
-5	0	0.2	10	1	380	0	1	3	63
-5	0	0.2	21	0	296	0	1	1	80
-5	0	0.2	21	0	380	0	1	1	80
-5	0	0.2	21	1	296	0	2	4	59
-5	0	0.2	21	1	380	0	2	4	59
-5	0	0.2	30	0	296	0	2	2	74
-5	0	0.2	30	0	380	0	2	2	74
-5	0	0.2	30	1	296	0	4	9	61
-5	0	0.2	30	1	380	0	4	9	61
-5	0	0.2	41	0	296	0	2	2	74
-5	0	0.2	41	0	380	0	2	2	74
-5	0	0.2	41	1	296	0	3	3	62
-5	0	0.2	41	1	380	0	3	3	62
-5	0	0.3	0	0	296	0	4	4	75
-5	0	0.3	0	0	380	0	4	4	75
-5	0	0.3	0	1	296	0	3	3	62
-5	0	0.3	0	1	380	0	3	3	62
-5	0	0.3	10	0	296	0	3	5	72
-5	0	0.3	10	0	380	0	3	5	72
-5	0	0.3	10	1	296	0	2	2	62
-5	0	0.3	10	1	380	0	2	2	62
-5	0	0.3	21	0	296	0	1	1	74
-5	0	0.3	21	0	380	0	1	1	74
-5	0	0.3	21	1	296	0	3	3	62
-5	0	0.3	21	1	380	0	3	3	62
-5	0	0.3	30	0	296	0	2	2	75
-5	0	0.3	30	0	380	0	2	2	75
-5	0	0.3	30	1	296	0	2	2	63
-5	0	0.3	30	1	380	0	2	2	63
-5	0	0.3	41	0	296	0	5	6	72
-5	0	0.3	41	0	380	0	5	6	72
-5	0	0.3	41	1	296	0	3	3	60
-5	0	0.3	41	1	380	0	3	3	60
-5	0	0.4	0	0	296	0	1	1	77
-5	0	0.4	0	0	380	0	1	1	77
-5	0	0.4	0	1	296	0	1	2	64
-5	0	0.4	0	1	380	0	1	2	64
-5	0	0.4	10	0	296	0	6	6	78
-5	0	0.4	10	0	380	0	6	6	78
-5	0	0.4	10	1	296	0	0	0	60
-5	0	0.4	10	1	380	0	0	0	60
-5	0	0.4	21	0	296	0	3	6	76
-5	0	0.4	21	0	380	0	3	6	76
-5	0	0.4	21	1	296	0	2	2	66
-5	0	0.4	21	1	380	0	2	2	66
-5	0	0.4	30	0	296	0	2	4	75
-5	0	0.4	30	0	380	0	2	4	75
-5	0	0.4	30	1	296	0	1	1	68
-5	0	0.4	30	1	380	0	1	1	68
-5	0	0.4	41	0	296	0	1	1	73
-5	0	0.4	41	0	380	0	1	1	73
-5	0	0.4	41	1	296	0	2	2	62
-5	0	0.4	41	1	380	0	2	2	62
-5	0	0.5	0	0	296	0	2	2	75
-5	0	0.5	0	0	380	0	2	2	75
-5	0	0.5	0	1	296	0	1	1	65
-5	0	0.5	0	1	380	0	1	1	65
-5	0	0.5	10	0	296	0	1	1	75
-5	0	0.5	10	0	380	0	1	1	75
-5	0	0.5	10	1	296	0	1	1	66
-5	0	0.5	10	1	380	0	1	1	66
-5	0	0.5	21	0	296	0	1	3	76
-5	0	0.5	21	0	380	0	1	3	76
-5	0	0.5	21	1	296	0	1	1	66
-5	0	0.5	21	1	380	0	1	1	66
-5	0	0.5	30	0	296	0	2	2	77
-5	0	0.5	30	0	380	0	2	2	77
-5	0	0.5	30	1	296	0	2	2	65
-5	0	0.5	30	1	380	0	2	2	65
-5	0	0.5	41	0	296	0	2	2	75
-5	0	0.5	41	0	380	0	2	2	75
-5	0	0.5	41	1	296	0	1	1	65
-5	0	0.5	41	1	380	0	1	1	65
-5	0	0.6	0	0	296	0	4	4	76
-5	0	0.6	0	0	380	0	4	4	76
-5	0	0.6	0	1	296	0	1	1	62
-5	0	0.6	0	1	380	0	1	1	62
-5	0	0.6	10	0	296	0	2	2	76
-5	0	0.6	10	0	380	0	2	2	76
-5	0	0.6	10	1	296	0	1	1	62
-5	0	0.6	10	1	380	0	1	1	62
-5	0	0.6	21	0	296	0	2	2	76
-5	0	0.6	21	0	380	0	2	2	76
-5	0	0.6	21	1	296	0	1	1	60
-5	0	0.6	21	1	380	0	1	1	60
-5	0	0.6	30	0	296	0	1	1	75
-5	0	0.6	30	0	380	0	1	1	75
-5	0	0.6	30	1	296	0	2	2	61
-5	0	0.6	30	1	380	0	2	2	61
-5	0	0.6	41	0	296	0	1	1	76
-5	0	0.6	41	0	380	0	1	1	76
-5	0	0.6	41	1	296	0	1	1	60
-5	0	0.6	41	1	380	0	1	1	60
-5	0	0.7	0	0	296	0	2	2	79
-5	0	0.7	0	0	380	0	2	2	79
-5	0	0.7	0	1	296	0	0	0	72
-5	0	0.7	0	1	380	0	0	0	72
-5	0	0.7	10	0	296	0	2	3	76
-5	0	0.7	10	0	380	0	2	3	76
-5	0	0.7	10	1	296	0	1	3	68
-5	0	0.7	10	1	380	0	1	3	68
-5	0	0.7	21	0	296	0	1	2	77
-5	0	0.7	21	0	380	0	1	2	77
-5	0	0.7	21	1	296	0	1	3	64
-5	0	0.7	21	1	380	0	1	3	64
-5	0	0.7	30	0	296	0	1	1	79
-5	0	0.7	30	0	380	0	1	1	79
-5	0	0.7	30	1	296	0	0	0	70
-5	0	0.7	30	1	380	0	0	0	70
-5	0	0.7	41	0	296	0	1	1	77
-5	0	0.7	41	0	380	0	1	1	77
-5	0	0.7	41	1	296	0	1	4	66
-5	0	0.7	41	1	380	0	1	4	66
-5	0	0.8	0	0	296	0	5	5	72
-5	0	0.8	0	0	380	0	5	5	72
-5	0	0.8	0	1	296	0	0	0	70
-5	0	0.8	0	1	380	0	0	0	70
-5	0	0.8	10	0	296	0	3	4	74
-5	0	0.8	10	0	380	0	3	4	74
-5	0	0.8	10	1	296	0	5	5	59
-5	0	0.8	10	1	380	0	5	5	59
-5	0	0.8	21	0	296	0	1	1	78
-5	0	0.8	21	0	380	0	1	1	78
-5	0	0.8	21	1	296	0	2	2	65
-5	0	0.8	21	1	380	0	2	2	65
-5	0	0.8	30	0	296	0	3	3	76
-5	0	0.8	30	0	380	0	3	3	76
-5	0	0.8	30	1	296	0	2	2	60
-5	0	0.8	30	1	380	0	2	2	60
-5	0	0.8	41	0	296	0	1	1	76
-5	0	0.8	41	0	380	0	1	1	76
-5	0	0.8	41	1	296	0	1	2	68
-5	0	0.8	41	1	380	0	1	2	68
-5	0	0.9	0	0	296	0	3	3	77
-5	0	0.9	0	0	380	0	3	3	77
-5	0	0.9	0	1	296	0	0	0	60
-5	0	0.9	0	1	380	0	0	0	60
-5	0	0.9	10	0	296	0	5	6	74
-5	0	0.9	10	0	380	0	5	6	74
-5	0	0.9	10	1	296	0	0	0	60
-5	0	0.9	10	1	380	0	0	0	60
-5	0	0.9	21	0	296	0	1	1	75
-5	0	0.9	21	0	380	0	1	1	75
-5	0	0.9	21	1	296	0	0	0	64
-5	0	0.9	21	1	380	0	0	0	64
-5	0	0.9	30	0	296	0	3	3	77
-5	0	0.9	30	0	380	0	3	3	77
-5	0	0.9	30	1	296	0	0	0	64
-5	0	0.9	30	1	380	0	0	0	64
-5	0	0.9	41	0	296	0	3	3	73
-5	0	0.9	41	0	380	0	3	3	73
-5	0	0.9	41	1	296	0	1	1	59
-5	0	0.9	41	1	380	0	1	1	59
-5	1	0.0	0	0	296	0	1	1	41
-5	1	0.0	0	0	380	0	1	1	41
-5	1	0.0	0	1	296	0	1	1	34
-5	1	0.0	0	1	380	0	1	1	34
-5	1	0.0	10	0	296	0	1	1	42
-5	1	0.0	10	0	380	0	1	1	42
-5	1	0.0	10	1	296	0	2	2	36
-5	1	0.0	10	1	380	0	2	2	36
-5	1	0.0	21	0	296	0	1	1	42
-5	1	0.0	21	0	380	0	1	1	42
-5	1	0.0	21	1	296	0	2	3	33
-5	1	0.0	21	1	380	0	2	3	33
-5	1	0.0	30	0	296	0	1	1	42
-5	1	0.0	30	0	380	0	1	1	42
-5	1	0.0	30	1	296	0	1	1	33
-5	1	0.0	30	1	380	0	1	1	33
-5	1	0.0	41	0	296	0	1	1	42
-5	1	0.0	41	0	380	0	1	1	42
-5	1	0.0	41	1	296	0	2	2	33
-5	1	0.0	41	1	380	0	2	2	33
-5	1	0.1	0	0	296	0	2	2	43
-5	1	0.1	0	0	380	0	2	2	43
-5	1	0.1	0	1	296	0	2	2	35
-5	1	0.1	0	1	380	0	2	2	35
-5	1	0.1	10	0	296	0	1	1	41
-5	1	0.1	10	0	380	0	1	1	41
-5	1	0.1	10	1	296	0	1	1	36
-5	1	0.1	10	1	380	0	1	1	36
-5	1	0.1	21	0	296	0	1	1	42
-5	1	0.1	21	0	380	0	1	1	42
-5	1	0.1	21	1	296	0	1	1	36
-5	1	0.1	21	1	380	0	1	1	36
-5	1	0.1	30	0	296	0	2	2	42
-5	1	0.1	30	0	380	0	2	2	42
-5	1	0.1	30	1	296	0	2	3	36
-5	1	0.1	30	1	380	0	2	3	36
-5	1	0.1	41	0	296	0	3	3	42
-5	1	0.1	41	0	380	0	3	3	42
-5	1	0.1	41	1	296	0	1	1	36
-5	1	0.1	41	1	380	0	1	1	36
-5	1	0.2	0	0	296	0	2	2	41
-5	1	0.2	0	0	380	0	2	2	41
-5	1	0.2	0	1	296	0	1	1	36
-5	1	0.2	0	1	380	0	1	1	36
-5	1	0.2	10	0	296	0	1	1	42
-5	1	0.2	10	0	380	0	1	1	42
-5	1	0.2	10	1	296	0	2	3	37
-5	1	0.2	10	1	380	0	2	3	37
-5	1	0.2	21	0	296	0	2	2	43
-5	1	0.2	21	0	380	0	2	2	43
-5	1	0.2	21	1	296	0	3	3	37
-5	1	0.2	21	1	380	0	3	3	37
-5	1	0.2	30	0	296	0	2	2	43
-5	1	0.2	30	0	380	0	2	2	43
-5	1	0.2	30	1	296	0	4	4	35
-5	1	0.2	30	1	380	0	4	4	35
-5	1	0.2	41	0	296	0	3	3	42
