k,"lane_G(0=G0/c0,1=G1/c1)",burst_B,pos_j,iB_index,j_if_LSB_dropped,j_if_LSB_inverted,iB_index_if_LSB_inverted
0,0,0,0,0,0,1,1
1,1,1,98,212,98,99,213
2,0,2,82,310,82,83,311
3,1,3,66,408,66,67,409
4,0,0,51,51,50,50,50
5,1,1,35,149,34,34,148
6,0,2,19,247,18,18,246
7,1,3,3,345,2,2,344
8,0,0,100,100,100,101,101
9,1,1,84,198,84,85,199
10,0,2,68,296,68,69,297
11,1,3,52,394,52,53,395
12,0,0,37,37,36,36,36
13,1,1,21,135,20,20,134
14,0,2,5,233,4,4,232
15,1,3,103,445,102,102,444
16,0,0,86,86,86,87,87
17,1,1,70,184,70,71,185
18,0,2,54,282,54,55,283
19,1,3,38,380,38,39,381
20,0,0,23,23,22,22,22
21,1,1,7,121,6,6,120
22,0,2,105,333,104,104,332
23,1,3,89,431,88,88,430
24,0,0,72,72,72,73,73
25,1,1,56,170,56,57,171
26,0,2,40,268,40,41,269
27,1,3,24,366,24,25,367
28,0,0,9,9,8,8,8
29,1,1,107,221,106,106,220
30,0,2,91,319,90,90,318
31,1,3,75,417,74,74,416
32,0,0,58,58,58,59,59
33,1,1,42,156,42,43,157
34,0,2,26,254,26,27,255
35,1,3,10,352,10,11,353
36,0,0,109,109,108,108,108
37,1,1,93,207,92,92,206
38,0,2,77,305,76,76,304
39,1,3,61,403,60,60,402
40,0,0,44,44,44,45,45
41,1,1,28,142,28,29,143
42,0,2,12,240,12,13,241
43,1,3,110,452,110,111,453
44,0,0,95,95,94,94,94
45,1,1,79,193,78,78,192
46,0,2,63,291,62,62,290
47,1,3,47,389,46,46,388
48,0,0,30,30,30,31,31
49,1,1,14,128,14,15,129
50,0,2,112,340,112,113,341
51,1,3,96,438,96,97,439
52,0,0,81,81,80,80,80
53,1,1,65,179,64,64,178
54,0,2,49,277,48,48,276
55,1,3,33,375,32,32,374
56,0,0,16,16,16,17,17
57,1,1,0,114,0,1,115
58,0,2,98,326,98,99,327
59,1,3,82,424,82,83,425
60,0,0,67,67,66,66,66
61,1,1,51,165,50,50,164
62,0,2,35,263,34,34,262
63,1,3,19,361,18,18,360
64,0,0,2,2,2,3,3
65,1,1,100,214,100,101,215
66,0,2,84,312,84,85,313
67,1,3,68,410,68,69,411
68,0,0,53,53,52,52,52
69,1,1,37,151,36,36,150
70,0,2,21,249,20,20,248
71,1,3,5,347,4,4,346
72,0,0,102,102,102,103,103
73,1,1,86,200,86,87,201
74,0,2,70,298,70,71,299
75,1,3,54,396,54,55,397
76,0,0,39,39,38,38,38
77,1,1,23,137,22,22,136
78,0,2,7,235,6,6,234
79,1,3,105,447,104,104,446
80,0,0,88,88,88,89,89
81,1,1,72,186,72,73,187
82,0,2,56,284,56,57,285
83,1,3,40,382,40,41,383
84,0,0,25,25,24,24,24
85,1,1,9,123,8,8,122
